题目,作者,期刊,发表时间,摘要,关键词
天津市基本公共卫生服务项目预算绩效管理现状、问题及对策,孙华君;胡羽;黄丽雯;马莹;龚佳彤;张雅欣;李婧;杜汋,卫生经济研究(2023年01期),2023/1/15,"从绩效目标设置、绩效运行监控、绩效评价及绩效管理结果应用等方面,对天津市基本公共卫生服务项目现状进行综合分析,发现存在的问题并分析成因,提出提高基本公共卫生服务项目预算绩效管理水平的建议:建立事前绩效评估机制、合理调整绩效目标、改善绩效运行监控方式、科学开展绩效评价、强化绩效管理结果应用。",基本公共卫生服务;预算绩效管理;绩效目标;绩效评价;
社会歧视对我国流动人口健康状况的影响,张环宇;冯亚杰;刘俊萍;刘智新;邹丹丹;王晨;赵娟;梁立波,医学与社会(2023年01期),2023/1/10,"目的:探讨基本公共卫生服务利用情况在流动人口遭受的社会歧视与其健康状况之间的中介效应，为改善流动人口健康状况提供参考。方法:利用2017年全国流动人口动态监测调查数据，采用logit回归法分析流动人口所受社会歧视、健康状况及基本公共卫生服务利用情况之间的关系，并用KHB效应分解法检验基本公共卫生服务利用情况的中介作用。结果:流动人口所受的社会歧视影响其健康状况，社会歧视对健康状况的直接效应为-0.010,其95%CI为(-0.030,-0.019);基本公共卫生服务利用情况在社会歧视与健康状况之间起中介作用，中介效应占总效应的30.7%。结论:流动人口所受社会歧视能直接影响其健康状况，又可以通过影响基本公共卫生服务利用情况间接影响健康状况。因此应在减少流动人口在流入地受歧视机会的同时，完善基本公共卫生服务利用情况，提高人群健康水平。",基本公共卫生服务;健康状况;社会歧视;流动人口;
社会融合对流动老人基本公共卫生服务利用的影响研究,胡依;闵淑慧;郭芮绮;成晓芬;李贝,现代预防医学(2022年22期),2022/11/25,"目的了解流动老人基本公共卫生服务利用情况，以及社会融合对基本公共卫生服务利用的影响。方法于2021年7—12月，采用方便抽样的方法，抽取广州市、深圳市、江门市452名流动老人进行问卷调查。采用二元logistic回归模型分析流动老人社会融合对建立健康档案、接受健康教育和老年人健康管理之间的影响。结果在452名流动老人中，60.8%建立了居民健康档案，接受过健康教育和老年人健康管理的分别有64.4%和60.0%。Logistic分析结果显示，流动老人的居民健康档案行为受到月消费水平（B=0.368,P<0.05）、社区文体活动参与程度（B=0.362,P<0.01）、居留意愿（B=0.408,P<0.001）、年龄（B=-0.513,P<0.01）、户籍类型（B=0.742,P<0.01）、流动类型（B=-0.539,P<0.05）等变量的影响；健康教育服务利用行为受到社区文体活动参与程度（B=0.354,P<0.01）、年龄（B=-0.411,P<0.05）、户籍类型（B=0.561,P<0.05）的影响；老年人健康管理服务利用行为受到社区文体活动参与程度（B=0.291,P<0.01）、居留意愿（B=0.239,P<0.05）、年龄（B=-0.474,P<0.05）、流动类型（B=-0.471,P<0.05）、流动时间（B=0.225,P<0.05）、流动目的（B=0.328,P<0.01）的影响。结论流动老人基本公共卫生服务利用率较低，社会融合会对流动老人的基本公共卫生服务利用产生积极影响。可以通过提高流动老人获得基本公共卫生服务的能力和社会融合水平来促进流动老人的基本公共卫生服务利用，从而实现基本公共服务均等化。",流动老人;社会融合;基本公共卫生服务利用;
国家基本公共卫生服务项目实施现状及问题分析,程念;宋大平;崔雅茹,中国卫生经济(2022年11期),2022/11/5,"通过对国家基本公共卫生服务项目进行面上调查和典型地区调查发现,国家基本公共卫生服务项目已经建立了完善的组织管理体系、明确的分工协作机制和稳定的筹资增长机制,服务内容不断丰富,服务提供更加精细化,居民获得感得到提升。建议进一步完善相关政策,建立以需求为导向的基本公共卫生服务项目动态调整机制;研究以成本为基础的服务标准测算方法并制定操作手册;提供精细化与个性化服务;加快发挥智慧化手段的助力作用。",国家基本公共卫生服务项目;基层卫生服务;家庭医生签约;
国家基本公共卫生服务及医保支付方式改革在高血压防治中的作用,郭浚文;周佳;郭子宏,中华高血压杂志(2022年10期),2022/10/15,"<正>最新数据显示，我国年龄≥18岁居民血压正常高值检出粗率39.1%,高血压患病粗率27.9%,估计全国高血压患者为2.45亿例[1]。我国高血压的防控形势非常严峻，高血压已成为严重的公共卫生问题。本文从国家政策入手，综合分析国家基本公共卫生服务项目及医保支付方式改革对高血压患者管理、治疗等方面的影响，阐述国家基本公共卫生服务项目及医保支付方式改革在高血压防治中的作用，探讨进一步优化两个体系对高血压防治的支撑作用。",
基本公共卫生服务项目2型糖尿病患者健康管理数据质量评价指标体系构建,秦莉;陈波;马吉祥;徐建伟;李剑虹;王文绢,中国公共卫生(2022年10期),2022/10/15,目的构建基本公共卫生服务项目2型糖尿病患者健康管理数据质量评价指标体系，为促进2型糖尿病患者健康管理服务提供科学适宜工具。方法通过文献回顾国内外电子健康档案的数据质量评价维度及指标，结合2型糖尿病患者健康管理的工作需要和数据特点，构建具有针对性的数据质量评价指标体系；并利用2012年1月—2017年12月湖南湘潭某区和四川成都某区2型糖尿病患者健康管理项目数据对该指标体系进行应用可行性评价。结果构建的基本公共卫生服务项目2型糖尿病患者健康管理数据质量评价指标体系包含数据的合理性、完整性和一致性3个维度共7个指标，通过实际应用发现该指标体系具有良好的应用可行性；2012年1月—2017年12月湖南湘潭某区和四川成都某区的2型糖尿病患者健康管理数据质量总体上较好，且近年来改善明显，但两地区数据仍存在数据格式不一致、重复录入和数据匹配率低等现实问题。结论本研究构建的基本公共卫生服务项目2型糖尿病患者健康管理数据质量评价指标体系在实际应用中具有良好的适宜性和可操作性，建议将数据质量评价纳入常规工作中以发现患者管理过程中存在的问题。,2型糖尿病;健康管理;数据质量;评价指标体系;基本公共卫生服务项目;
政策工具视角下我国省级基本公共卫生服务补助资金管理政策分析,吴腾燕;付亚群;赵婧雨;杨莉,中国卫生经济(2022年10期),2022/10/5,"目的:全面分析我国省级基本公共卫生补助资金管理政策现状,并针对可能存在的问题提出相应的政策建议,以期为优化补助资金管理提供科学参考。方法:采用质性研究的开放式编码方法对我国省级出台的24份基本公共卫生补助资金管理政策进行编码,并基于供给型、需求型和环境型政策工具分析框架进行量化分析。结果:省级基本公共卫生补助资金管理政策在发文时间和地区分布上存在差异,部分省份的政策文本未及时更新,政策工具的运用呈现偏环境型、轻需求型特点。结论:各省份应因地制宜和与时俱进地制定资金管理政策不断优化政策工具的运用比例,积极构建统筹化、精细化和可持续性的资金管理策略。",基本公共卫生服务补助资金;资金管理;政策文本量化分析;
医防融合背景下我国基层医疗卫生机构卫生技术人员现状调查,李丽芬;陈浩;刘毅;王萌康;郑棋;王静雯;张然;郑喆;郭岩,医学与社会(2022年09期),2022/9/10,"目的:通过对我国基层卫生技术人员进行现状调查，分析现存问题，为推进我国基层医疗卫生医防融合服务提供参考意见。方法:采用多阶段分层随机抽样，对5个省的基层卫生技术人员进行问卷调查。结果:基层卫生技术人员的高学历和高职称比例具有社区卫生服务中心占比大于乡镇卫生院，东部地区大于中西部地区的趋势。获得全科医师资格的临床人员占临床人员总数的46.2%;专业背景为预防医学的公共卫生人员不足20%,取得公共卫生医师执业资格的公共卫生人员不足15%。74.5%的临床人员和30.5%的公共卫生人员同时承担着基本医疗服务和基本公共卫生服务，对慢性病与传染病防控管理及健康教育与促进等专业知识的培训需求均较大。结论:基层卫生技术人员分布差异明显且结构不合理，全科医师和公共卫生人才不足，临床人员缺乏必要的公共卫生类知识。应该加大政策支持力度，通过科室信息整合、绩效考核、职称评聘等方式，加强临床和公共卫生人员团队及专业知识的融合。",医防融合;基层医疗卫生机构;卫生技术人员;
2021—2022年版英国质量与结果框架的设计及其对我国的启示,李雪竹;匡莉;张慧,中国全科医学(2022年28期),2022/8/12 15:46,我国基层医疗卫生机构在承担基本公共卫生服务和基本医疗服务项目方面存在绩效考核体系和支付制度不完善的问题。英国质量与结果框架(QOF)经过多次调整，最新版本更加注重慢性病防控与疾病管理质量。本研究从管理与运作体系、指标体系的演变历程及新版(2021—2022年版)指标构成、计分规则和按绩效付费规则等方面对英国QOF进行介绍，并剖析了英国新版QOF的设计细节和运行情况。本研究发现，英国QOF是一个以结果为导向的质量控制系统和以报酬为导向的激励机制，其以主要慢性病及其危险因素为管理重点，通过设置三级指标体系，并规定指标分值和每分值对应的金额，实现将全科诊所服务质量与其绩效报酬相联系，能够从整体上提高英国卫生系统的效能。借鉴QOF的经验，我国应完善基本公共卫生服务规范与绩效考核指标体系、基层门诊慢性病支付方式，促进基本公共卫生服务资金和基本医疗保险基金的统筹使用。,质量与结果框架;按绩效付费;基本公共卫生服务;基本医疗服务;国家卫生服务;英国;
高血压患者的国家基本公共卫生服务自评受益率与服务满意度调查,杨凌鹤;刘美岑;陈新月;廖子锐;昝子晴;连隽;杨思琪;张思琪;尤莉莉;刘远立,中国全科医学(2022年25期),2022/7/27,背景国家基本公共卫生服务项目自2009年至今已开展13年，是我国迄今为止针对高血压患者开展的最大范围的人群干预实践，了解该人群对干预实践的反馈，对于推动国家基本公共卫生服务的持续发展非常重要。目的探讨高血压患者的国家基本公共卫生服务自评受益率与满意度，为促进国家基本公共卫生服务实现高质量发展提供科学依据。方法采用多阶段分层抽样方式，于2019年11—12月在我国东、中、西部地区5市10区(县)20个社区卫生服务中心或乡镇卫生院抽取2419例≥35岁的高血压患者进行问卷调查。问卷由两部分组成：一般人口学信息和高血压患者健康管理情况。结果86.26%(2072/2402)的调查对象认为其所接受的基本公共卫生服务对其健康改善具有帮助。分别有97.15%(2349/2418)、94.09%(2275/2418)、88.16%(2129/2415)、87.81%(2118/2412)、61.36%(1469/2394)、95.04%(2297/2417)、83.67%(2013/2406)、82.34%(1981/2406)、95.53%(2310/2418)的高血压患者对医护人员服务态度、医护人员服务水平、体格检查、健康教育、中医药治疗、随访服务、高血压并发症筛查、血压控制效果及总体服务表示满意。不同文化程度、不同自评健康状况、是否在基层首次发现血压异常、过去1年内接受不同随访服务次数的高血压患者的自评获益率比较，差异有统计学意义(P<0.05)；不同文化程度、是否在基层首次发现血压异常、过去1年内接受不同随访服务次数的高血压患者总体服务满意度比较，差异有统计学意义(P<0.05)。结论高血压患者的国家基本公共卫生服务自评受益率及满意度较高，应注重国家基本公共卫生服务的规范提供及城乡同质化，以促进国家基本公共卫生服务实现高质量、可持续的发展。,国家基本公共卫生服务;高血压;健康管理;健康促进;自评受益率;服务满意度;
国家基本公共卫生服务项目十年评价（2009—2019年）系列报告（二）——国家基本公共卫生服务项目实施十年的进展与成效,尤莉莉;赵金红;陈新月;杨凌鹤;刘美岑;潘钰婷;张思琪;刘远立,中国全科医学(2022年26期),2022/7/7 16:19,背景国家基本公共卫生服务项目是中国政府主导的一项重要惠民工程，是迈向全民健康覆盖的中国实践，2009年该项目在全国铺开，覆盖面和影响力之大，在我国公共卫生领域首屈一指；回顾并总结该项目十年发展进程，明确成效，有利于促进项目的持续发展。目的梳理并总结全国国家基本公共卫生服务项目在过去十年(2009—2019年)所取得的进展与成效。方法通过函调收集31个省(自治区、直辖市)基本公共卫生服务项目各项监测数据(2009—2016年)，分析国家基本公共卫生服务管理平台监测数据(2017—2019年)，以及《中国卫生健康统计年鉴》(2010—2020年)相关指标，从供方角度分析十年间全国基本公共卫生各项服务的覆盖情况。2019年11—12月，在浙江省、山西省、重庆市开展了国家基本公共卫生服务项目十年评估居民调查，从需方角度调查居民对国家基本公共卫生服务项目的知晓率、利用率、满意率、自评获益率等情况。结果十年间，我国基本公共卫生的各类服务项目的覆盖率均有较大幅度增长：(1)健康档案建档率、电子健康档案建档率、健康档案使用率分别从2009年的48.78%、35.07%、22.14%上升至2019年的88.25%、86.82%、55.34%，平均年增长率分别为6.41%、10.92%、15.62%；(2)全国发放健康教育印刷资料累计约63.11亿份，播放健康教育音像资料次数约3.37亿次，举办健康教育讲座累计参加人数达11.44亿人；(3)截至2019年，全国管理在册的高血压患者约1.09亿人，糖尿病患者约3135.71万人，高血压、糖尿病患者的规范管理率十年间分别增长了29.28%、27.25%，高血压、糖尿病管理人群的血压、血糖控制率十年间分别增长了16.84%、24.69%，平均年增长率分别为3.28%、5.56%，东、中、西部地区各项指标的差距呈逐渐缩小趋势；(4)孕产妇早孕建册率、产前检查率、产后访视率和系统管理率分别增长了6.06%、4.60%、7.79%和9.40%，新生儿访视率、0～6岁儿童健康管理率的十年增长幅度分别为14.09%、17.82%，平均年增长率为1.74%、2.30%；2019年，全国老年人健康管理率为67.41%，较2009年增长26.23%，平均年增长率为5.96%；老年人和儿童的中医药健康管理服务的平均年增长率为15.00%、12.97%；(5)居民预防接种建证率和各类疫苗接种率均稳定在90%以上；严重精神障碍患者规范管理率2019年达89.17%，肺结核患者管理率及肺结核患者规范服药率自2015年以来均稳定在95%以上；(6)2019年参与调查的居民对国家基本公共卫生服务项目的知晓率为85.4%，服务利用率为98.7%，重点人群的服务满意度均在90%以上，自评服务获益率均在85%以上；(7)基层医疗卫生服务机构的服务能力有所提升，机构数量呈现持续上升趋势，基层医疗卫生机构人员数量、医护比、本科以上学历占比均逐年上升。结论十年来，作为我国基本医疗卫生服务的重要组成部分，基本公共卫生各服务项目人群覆盖率均有较大幅度增长，服务广覆盖的目标基本达成，重点人群健康管理水平提升明显，健康管理效果显现，居民对基本公共卫生服务的获得感逐步提高，基层医疗卫生机构服务能力不断提升，我国基本公共卫生服务项目的全面实施是向“全民健康覆盖”目标迈进的重要举措。,公共卫生;国家基本公共卫生服务项目;公共卫生系统研究;评价研究;健康管理;获得感;中国;
国家基本公共卫生服务项目十年评价（2009—2019年）系列报告（三）——国家基本公共卫生服务项目实施十年：挑战与建议,尤莉莉;陈新月;杨凌鹤;赵金红;潘钰婷;张思琪;刘远立,中国全科医学(2022年26期),2022/7/7 14:03,国家基本公共卫生服务项目作为深化医药卫生体制改革的一项重要措施，已开展十余年。因此评估该项目实施十年(2009—2019年)的效果和尚存的问题，对进一步推进国家基本公共卫生服务意义重大。本文参照Donabedian质量理论，从项目目标、项目内容、运行机制、实施过程、产生效果等方面，总结并分析当前我国基本公共卫生服务仍存在的关键问题，并从六方面提出了相关建议，主要为：基于科学论证，动态调整项目；建议国家基本公共卫生服务进行分级、分类管理；适时修订项目规范，促进服务提质增效；逐步推进以效果为导向的评价考核制度；完善运行机制，促进可持续发展；充分发挥县域医共体作用，加强服务协同；建立科学、长效的国家基本公共卫生服务项目监测机制。以为进一步完善、优化国家基本公共卫生服务项目提供参考。,公共卫生;国家基本公共卫生服务项目;公共卫生系统研究;评价研究;政策建议;中国;
国家基本公共卫生服务项目十年评价(2009—2019年)：实施国家基本公共卫生服务项目的意义和经验,尤莉莉;刘远立,中国全科医学(2022年26期),2022/7/7 14:03,国家基本公共卫生服务项目是我国政府针对城乡居民存在的主要健康问题，以重点人群、重点疾病和全体人群为对象，从国家层面做出的一项系统性、全局性的基本公共服务制度安排。2019年是国家基本公共卫生服务项目实施10周年，本文基于国家基本公共卫生服务项目实施十年效果评估项目，从全民健康覆盖、健康中国战略、深化医疗卫生体制改革和重大制度性创新四个方面，总结了实施国家基本公共卫生服务项目重要意义；同时，梳理出项目取得成功的几项主要经验，包括：建立健全强有力的项目组织管理体系、稳步提高的财政支持力度、项目实施遵循循序渐进的原则、提倡和鼓励因地制宜的地方探索、坚持赏罚分明的绩效考核五个方面；从历史性视角，通过对由中国政府主导的这一重大惠民工程的成果加以总结，以期向国内外展示新时期初级卫生保健工作的中国道路、中国实践和中国经验。,公共卫生;国家基本公共卫生服务项目;公共卫生系统研究;评价研究;经验;中国;
以效果为导向的国家基本公共卫生服务综合评价指标体系构建,尤莉莉;陈新月;杨凌鹤;赵金红;昝子晴;张并立;刘远立,中国公共卫生(2022年05期),2022/5/15,目的构建效果导向的国家基本公共卫生服务综合评价指标体系，为创新基本公卫项目考核方式、推动从过程评价到健康结果评价转变提供方法和工具。方法通过文献综述、现场访谈、专家德尔菲咨询法和逻辑分析法构建并筛选一、二、三级指标，采用层次分析法、熵权法进行主客观权重计算。结果通过文献分析和访谈咨询，初步形成投入、执行、效果为3个一级指标、25个二级指标、104个三级指标的待选指标池，其中包括反映“效果”的三级指标共47个；通过第一轮专家德尔菲咨询筛选指标，专家积极系数为97.5%，专家权威系数为0.82，专家熟悉程度系数为0.88。最终形成的综合评价指标体系包括项目投入、执行、效果3个一级指标，所占权重分别为11.35%、26.48%和62.18%，包括20个二级指标和54个三级指标；在效果指标中，知晓率与满意度权重最高（16.39%），其次为慢性病患者健康管理（14.97%）、儿童健康管理（12.42%）、孕产妇健康管理（12.42%）、健康教育（5.43%）；三级效果指标中，居民满意度权重最高（7.25%），其次为管理人群高血压并发生发生率（5.35%）、管理人群糖尿病并发症发生率（5.27%）；除我国卫生统计的常规监测系统外，居民电子健康档案信息化系统可作为效果指标数据的主要来源。结论本研究构建的国家基本公共卫生服务综合评价指标体系突出效果导向，可在充分利用基本公卫居民健康档案信息系统的基础上，用于日常评价和阶段性评价。,国家基本公共卫生服务项目;绩效考核;评估评价;指标体系;
